time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/clip_range,train/value_loss,train/learning_rate,train/approx_kl,train/clip_fraction,train/loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
1,0.09433333333333332,68,59,4096,1149.6666666666667,,,,,,,,,,,,
2,0.10542857142857143,142,57,8192,1127.7142857142858,10,0.2,0.003668403565461631,0.0003,0.012886006,0.1209716796875,-0.02802053838968277,-1.7813238609582185,-1.167811393737793,-0.007092494182870723,,
3,0.0738,217,56,12288,1111.7,20,0.2,0.0009762182869962998,0.0003,0.008056501,0.0748779296875,-0.04036341980099678,-1.7703579388558865,-0.6444422006607056,-0.004483399213495431,,
4,0.074,292,56,16384,1132.7142857142858,30,0.2,0.0003944087357808712,0.0003,0.0093022585,0.09619140625,-0.0014735175063833594,-1.7418559031561016,-0.24473392963409424,-0.0052932760961994065,,
5,0.08416666666666667,366,55,20480,1128.8333333333333,40,0.2,0.00026603923308243793,0.0003,0.010307469,0.083349609375,-0.01528915949165821,-1.7044800072908401,-0.10282015800476074,-0.0059314391779480505,,
6,0.07214285714285715,440,55,24576,1121.6190476190477,50,0.2,0.0002613391960323952,0.0003,0.006476339,0.0423583984375,0.017613742500543594,-1.6606279607862233,-0.039731502532958984,-0.002814031954767415,,
7,0.06060000000000001,515,55,28672,1126.56,60,0.2,0.00012178629964978426,0.0003,0.010842317,0.1271728515625,-0.02162976935505867,-1.6513791840523482,-0.17743194103240967,-0.0048466511572769376,,
8,0.06375862068965518,589,55,32768,1123.8275862068965,70,0.2,9.386162172617674e-05,0.0003,0.008848183,0.0746826171875,-0.006927065551280975,-1.604411249421537,-0.1335756778717041,-0.0041187209091731345,,
9,0.063,663,55,36864,1119.5625,80,0.2,9.901990179344012e-05,0.0003,0.008312038,0.066015625,-0.005587431136518717,-1.6658884692937135,-0.1360698938369751,-0.005059734286624007,,
10,0.06061111111111111,739,55,40960,1123.4166666666667,90,0.2,5.706235928499836e-05,0.0003,0.010115433,0.1241455078125,-0.0132808368653059,-1.6483103917911648,-0.21607708930969238,-0.0076581682078540325,,
11,0.06192500000000001,813,55,45056,1122.275,100,0.2,4.705739010120169e-05,0.0003,0.010041979,0.102685546875,-0.003343687392771244,-1.63441116604954,-0.16003060340881348,-0.005316024485364323,,
12,0.0658139534883721,887,55,49152,1118.860465116279,110,0.2,4.0796890841932056e-05,0.0003,0.010383244,0.11201171875,0.017203178256750107,-1.6353554056957365,-0.07057523727416992,-0.008063489136111457,,
13,0.06638297872340426,963,55,53248,1121.9787234042553,120,0.2,4.411264142305527e-05,0.0003,0.007789571,0.0765380859375,-0.017218254506587982,-1.651978767849505,-0.20549654960632324,-0.004911997377348598,,
14,0.06764705882352942,1038,55,57344,1119.9607843137255,130,0.2,3.555141227664649e-05,0.0003,0.008837406,0.084765625,-0.021559827029705048,-1.6244546081870794,-0.09364032745361328,-0.0063796046386414675,,
15,0.07016666666666667,1112,55,61440,1117.7962962962963,140,0.2,3.476058610516475e-05,0.0003,0.007960742,0.0816162109375,-0.0038994494825601578,-1.5859617553651333,-0.16195237636566162,-0.005615404509444488,,
16,0.07555172413793104,1186,55,65536,1121.3620689655172,150,0.2,4.0809115303375167e-05,0.0003,0.0067944173,0.0688720703125,0.007470757234841585,-1.5765147488564253,-0.03611147403717041,-0.005010104205575771,,
17,0.07490322580645162,1262,55,69632,1119.741935483871,160,0.2,3.77537121835303e-05,0.0003,0.0071509057,0.0685791015625,-0.021452344954013824,-1.5678995655849577,-0.12091314792633057,-0.005703682330204174,,
18,0.07624615384615385,1336,55,73728,1117.6615384615384,170,0.2,1.5862637537367162e-05,0.0003,0.0103961155,0.12548828125,0.032635290175676346,-1.55638056024909,-0.18639278411865234,-0.008229215853498317,,
19,0.08044927536231884,1411,55,77824,1120.536231884058,180,0.2,4.0310497925588604e-05,0.0003,0.00652418,0.0537109375,0.0025804699398577213,-1.4707629438489676,-0.01376640796661377,-0.003820272958546411,,
20,0.07878082191780822,1486,55,81920,1118.945205479452,190,0.2,3.818266214921096e-05,0.0003,0.009991141,0.098486328125,0.01732170209288597,-1.369672179594636,-0.1495976448059082,-0.006451768535771407,,
21,0.07567105263157896,1561,55,86016,1116.8026315789473,200,0.2,1.7384021305311138e-05,0.0003,0.008266832,0.07939453125,0.0017706274520605803,-1.37572284899652,-0.12180185317993164,-0.0047934912174241616,,
22,0.0734375,1636,55,90112,1119.6625,210,0.2,2.2597253314771136e-06,0.0003,0.007746492,0.0808349609375,-0.0042200894095003605,-1.3400530375540256,-1.48598051071167,-0.0038722640500054696,,
23,0.07207142857142858,1711,55,94208,1118.7261904761904,220,0.2,2.6877139357317502e-05,0.0003,0.00877111,0.069580078125,0.008382675237953663,-1.2831128634512425,-0.09229457378387451,-0.003119275724020554,,
24,0.0716551724137931,1786,55,98304,1116.8620689655172,230,0.2,1.5094207944876814e-05,0.0003,0.0075702183,0.0649658203125,-0.010150253772735596,-1.2152505360543728,-0.09446609020233154,-0.003415077913086861,,
,,,,100000,,240,0.2,1.8127792877997705e-05,0.0003,0.0075801434,0.1009765625,0.009465964511036873,-1.2805633548647166,0.0020732879638671875,-0.007392824252019636,0.05239000248839147,1200.18
25,0.06926666666666667,3862,26,102400,1124.4555555555555,,,,,,,,,,,,
26,0.06951063829787234,3942,27,106496,1127.095744680851,250,0.2,2.8966111202066714e-06,0.0003,0.0074609616,0.0629150390625,-0.01645122468471527,-1.2886651661247015,-1.5375661849975586,-0.003831399253976997,,
27,0.06807142857142859,4017,27,110592,1125.6734693877552,260,0.2,4.7838366851848946e-05,0.0003,0.008767143,0.09365234375,-0.006430274806916714,-1.3348250776529311,-0.01328897476196289,-0.005018844945880119,,
28,0.0653,4097,27,114688,1121.67,270,0.2,1.352739806934622e-05,0.0003,0.0064035375,0.056689453125,0.015484623610973358,-1.344960735179484,-0.07204723358154297,-0.003273522700328613,,
29,0.06149,4177,28,118784,1118.52,280,0.2,1.95748948859098e-06,0.0003,0.010049021,0.0811279296875,-0.014721198007464409,-1.319586251489818,-1.8336400985717773,-0.006043641908763675,,
30,0.059930000000000004,4253,28,122880,1117.65,290,0.2,1.3187319895813233e-05,0.0003,0.007531027,0.080322265625,-0.012101516127586365,-1.3055748721584677,-0.16199779510498047,-0.003220269958546851,,
